[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	path/to/file/200-00001-01.lcd
Output Date	2016/03/07
Output Time	11:26:43

[MS Spectrum]
# of Peaks	98
Raw Spectrum	[0.367->0.825],(scan:[45->100])
Background	No Background Spectrum
Base Peak	m/z 885.37 (Inten : 301,535)
m/z	Absolute Intensity	Relative Intensity
254.8469	18024	5.98
278.7785	18918	6.27
280.8787	50717	16.82
282.9080	34845	11.56
371.9688	36818	12.21
465.0004	80068	26.55
466.0155	27725	9.19
572.2674	85649	28.40
573.2654	29382	9.74
574.2540	110647	36.69
575.3118	39359	13.05
576.2588	34484	11.44
628.3192	16223	5.38
658.4086	19451	6.45
672.3501	16193	5.37
682.3864	23504	7.79
684.4182	46053	15.27
685.3988	21690	7.19
686.3869	46538	15.43
687.4097	20465	6.79
688.4133	19596	6.50
698.3520	20587	6.83
700.3544	37940	12.58
701.3092	23303	7.73
702.3690	22743	7.54
716.2646	19794	6.56
722.3236	39349	13.05
723.3716	23744	7.87
724.3569	18248	6.05
726.2916	19290	6.40
740.3207	19086	6.33
742.3380	37137	12.32
743.3318	18197	6.03
744.3441	27130	9.00
745.3430	18536	6.15
746.3077	24979	8.28
747.3163	35199	11.67
748.3204	35549	11.79
749.3158	17035	5.65
750.2975	40659	13.48
751.3662	19332	6.41
752.3848	15760	5.23
760.3202	16370	5.43
766.3577	27107	8.99
771.3165	24519	8.13
773.2879	38147	12.65
774.2930	29911	9.92
775.3339	26474	8.78
776.3478	16831	5.58
778.2840	19363	6.42
780.3552	15247	5.06
786.3383	30285	10.04
788.3544	94575	31.36
789.3338	44867	14.88
790.4172	19620	6.51
794.3607	17402	5.77
810.3035	19232	6.38
812.3105	26434	8.77
817.3379	21315	7.07
819.3421	39417	13.07
820.4080	30549	10.13
821.4041	29552	9.80
822.4429	15797	5.24
823.4072	15301	5.07
833.2992	25338	8.40
834.3469	32976	10.94
835.3462	65393	21.69
836.3835	43066	14.28
837.3732	16195	5.37
838.3445	22558	7.48
843.3354	19071	6.32
844.3951	18028	5.98
857.2652	30222	10.02
859.3403	27985	9.28
861.4033	121206	40.20
862.4011	59854	19.85
863.3868	127251	42.20
864.4128	60185	19.96
865.3442	42322	14.04
866.3683	22263	7.38
871.4146	15158	5.03
883.3480	42283	14.02
885.3736	301535	100.00
886.3714	168957	56.03
887.3740	143896	47.72
888.4067	57869	19.19
889.4063	42963	14.25
890.4706	26373	8.75
891.4242	16431	5.45
892.4376	18566	6.16
904.5034	16246	5.39
906.4272	24384	8.09
907.4408	15337	5.09
908.3934	18649	6.18
909.3736	38994	12.93
910.4271	18610	6.17
911.4067	24482	8.12
913.3948	27233	9.03

Profile Data
# of Points	19900
m/z	Absolute Intensity	Relative Intensity
10.0982	0	0.0000
10.1982	0	0.0000
10.2982	4352	1.2720
10.3982	4216	1.2322
10.4982	4192	1.2252
10.5982	4184	1.2229
