[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130625_MEC_F_066_N_32203_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	9:45:30

[MS Spectrum]
# of Peaks	467
Raw Spectrum	[5.917->8.492],(scan:[711->1020])
Background	No Background Spectrum
Base Peak	m/z 782.56 (Inten : 216,937)
m/z	Absolute Intensity	Relative Intensity
104.2297	45291	20.88
146.2712	17143	7.90
158.2082	11360	5.24
170.0525	14036	6.47
175.1155	33721	15.54
203.2093	52121	24.03
204.1540	18151	8.37
215.2149	35625	16.42
227.2057	15318	7.06
271.1761	47682	21.98
287.1590	28280	13.04
296.1003	11037	5.09
304.2993	13560	6.25
307.0110	20102	9.27
341.2347	12877	5.94
355.2366	18883	8.70
369.3099	21517	9.92
371.2095	18966	8.74
383.2086	18439	8.50
385.2616	21763	10.03
399.2531	37476	17.28
400.2905	26741	12.33
401.2342	17358	8.00
409.1012	31641	14.59
413.3228	26674	12.30
414.2937	11454	5.28
415.2440	21951	10.12
416.3155	14392	6.63
425.1574	103573	47.74
426.2483	37152	17.13
427.2236	19094	8.80
428.3008	14683	6.77
429.2584	35638	16.43
430.3172	11345	5.23
441.2069	31938	14.72
442.2558	13928	6.42
443.2520	27094	12.49
444.3279	12468	5.75
445.3016	12910	5.95
457.3221	18270	8.42
459.2821	20571	9.48
473.3353	19124	8.82
487.3531	15768	7.27
489.3342	12222	5.63
496.3520	37617	17.34
497.4170	14829	6.84
501.3596	16859	7.77
502.3368	13087	6.03
503.3126	19427	8.96
504.3230	17313	7.98
518.3348	102021	47.03
519.3828	32423	14.95
520.4236	27209	12.54
521.3778	11018	5.08
522.3825	22329	10.29
523.3663	19066	8.79
524.3759	15032	6.93
525.4072	11780	5.43
527.2112	20405	9.41
528.2787	13851	6.38
529.3679	15242	7.03
530.4006	14790	6.82
531.3929	16823	7.75
532.3619	14360	6.62
534.3348	81721	37.67
535.3987	30729	14.16
536.3527	19252	8.87
538.3961	20131	9.28
540.7607	24554	11.32
542.3007	29312	13.51
544.3317	48374	22.30
545.3421	28960	13.35
546.3565	34814	16.05
547.4330	32601	15.03
548.4349	19435	8.96
550.3482	18192	8.39
551.3453	13494	6.22
552.7575	36604	16.87
555.4233	40518	18.68
558.2982	30121	13.88
560.3082	53973	24.88
561.4086	40253	18.56
562.4494	43800	20.19
563.4523	15848	7.31
564.8721	36256	16.71
567.3622	32136	14.81
568.3499	13336	6.15
570.2787	52128	24.03
573.5191	24396	11.25
575.3973	22678	10.45
576.4297	28669	13.22
577.4133	32960	15.19
579.6066	43893	20.23
582.2723	55656	25.66
584.8829	40364	18.61
587.8426	44283	20.41
589.3989	27779	12.81
591.6732	64518	29.74
594.4247	29825	13.75
595.4797	14036	6.47
596.9419	51529	23.75
599.6487	57733	26.61
603.2888	36639	16.89
605.8536	68334	31.50
608.8443	53976	24.88
611.6963	58788	27.10
614.4712	74976	34.56
617.7593	59505	27.43
620.9776	52744	24.31
623.3395	66912	30.84
626.4500	69433	32.01
629.4426	67936	31.32
631.9023	59792	27.56
633.4522	27587	12.72
635.3876	84384	38.90
638.4755	38717	17.85
639.5746	16081	7.41
641.0692	65360	30.13
643.8311	68975	31.79
647.0207	59924	27.62
649.8749	69645	32.10
652.6508	79508	36.65
655.8107	67139	30.95
658.8744	63363	29.21
659.4982	12110	5.58
661.7595	53269	24.56
664.8973	52266	24.09
