[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/30625_MEC_M_062_N_32209_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	9:56:11

[MS Spectrum]
# of Peaks	809
Raw Spectrum	[1.883->2.808],(scan:[227->338])
Background	No Background Spectrum
Base Peak	m/z 227.21 (Inten : 159,043)
m/z	Absolute Intensity	Relative Intensity
69.2057	16346	10.28
87.1709	23052	14.49
104.2303	89780	56.45
113.1728	13546	8.52
114.1951	12856	8.08
115.1038	11160	7.02
122.1972	11985	7.54
123.0890	8529	5.36
127.2166	16161	10.16
129.0871	10056	6.32
132.1393	41161	25.88
133.1807	8128	5.11
136.1723	18578	11.68
139.1149	10852	6.82
141.1514	9782	6.15
143.1271	10944	6.88
145.0830	9517	5.98
147.0556	11779	7.41
148.0657	9682	6.09
151.0503	15063	9.47
152.0992	11457	7.20
153.0266	8321	5.23
154.0878	40329	25.36
157.1100	21529	13.54
158.2017	31163	19.59
159.0816	15753	9.90
162.1423	51978	32.68
164.0040	15628	9.83
166.0360	11773	7.40
167.0264	14860	9.34
169.0141	13551	8.52
170.0458	115068	72.35
171.0963	14041	8.83
172.0548	24049	15.12
173.0594	18632	11.72
175.0800	27200	17.10
177.0678	14705	9.25
179.0943	9864	6.20
181.1126	10504	6.60
183.1080	17071	10.73
184.0848	14701	9.24
185.0690	29520	18.56
187.0959	8747	5.50
191.1435	16473	10.36
192.0868	8495	5.34
193.0917	15920	10.01
195.0677	10516	6.61
197.0693	12366	7.78
199.0415	12864	8.09
200.1014	19483	12.25
201.1004	14788	9.30
201.9939	8215	5.17
203.0720	36062	22.67
204.1031	95016	59.74
205.1404	13481	8.48
207.0765	19499	12.26
208.0347	10134	6.37
209.0408	12066	7.59
211.0598	8295	5.22
213.0719	14381	9.04
215.1839	25459	16.01
217.1338	19352	12.17
219.0198	51064	32.11
221.0483	27811	17.49
223.1104	13597	8.55
225.0650	8815	5.54
226.0069	11569	7.27
227.2076	159043	100.00
228.2801	28954	18.21
229.1893	12579	7.91
230.2067	15273	9.60
231.1282	8571	5.39
233.1008	19674	12.37
237.0897	8121	5.11
239.1449	23570	14.82
241.0756	8526	5.36
242.0595	13898	8.74
243.0966	8926	5.61
245.1113	20387	12.82
249.1047	12943	8.14
251.0719	8154	5.13
253.1152	9496	5.97
255.0975	20497	12.89
257.0841	15041	9.46
261.0460	23492	14.77
263.0905	20217	12.71
265.1102	9856	6.20
266.0857	8707	5.47
267.0881	9772	6.14
268.0884	9344	5.88
269.1155	8492	5.34
271.1671	72433	45.54
272.2605	11901	7.48
277.0740	9668	6.08
279.0618	9180	5.77
280.0874	8556	5.38
281.1172	8318	5.23
283.0756	8913	5.60
284.3170	17647	11.10
285.2243	13991	8.80
287.1369	65279	41.04
288.2148	17318	10.89
289.1724	12089	7.60
291.0847	22394	14.08
293.0964	10650	6.70
296.0538	15318	9.63
297.1887	16360	10.29
299.2032	18888	11.88
301.0607	17354	10.91
304.2646	58791	36.97
305.3040	17894	11.25
307.0067	110203	69.29
308.0710	14780	9.29
309.0804	32424	20.39
310.1379	9617	6.05
311.2059	20124	12.65
312.3178	26875	16.90
313.2201	17773	11.17
314.2967	11360	7.14
317.0203	24485	15.40
319.0865	10689	6.72
320.1499	10004	6.29
322.0598	11253	7.08
323.0952	8083	5.08
325.2063	28181	17.72
326.2958	30855	19.40
327.2393	27950	17.57
328.2909	18291	11.50
329.2010	11012	6.92
332.3362	23229	14.61
333.2921	9642	6.06
337.0638	8369	5.26
339.0752	11042	6.94
341.2332	35587	22.38
342.2733	9485	5.96
343.1764	9596	6.03
345.0967	8328	5.24
353.1741	9663	6.08
355.2289	35509	22.33
356.2965	13943	8.77
357.1834	23102	14.53
358.2276	8369	5.26
360.3051	39655	24.93
361.2980	15623	9.82
365.0916	9476	5.96
368.1751	15368	9.66
369.2635	47787	30.05
370.2983	44961	28.27
371.2169	73368	46.13
372.3154	72415	45.53
373.3713	21335	13.41
374.3017	8884	5.59
376.3054	42478	26.71
377.2811	14145	8.89
378.2244	8058	5.07
381.1585	11559	7.27
383.0475	14256	8.96
384.3500	34811	21.89
385.2289	71840	45.17
386.3027	18917	11.89
387.2563	12530	7.88
390.2000	8371	5.26
391.1978	9467	5.95
392.2061	10735	6.75
393.1564	8849	5.56
394.2325	8711	5.48
395.2169	10988	6.91
397.1769	10576	6.65
399.2718	44152	27.76
400.3072	35565	22.36
401.2541	31711	19.94
402.3122	12066	7.59
403.2485	10110	6.36
409.1353	20828	13.10
410.1973	13126	8.25
411.1918	11469	7.21
413.2883	57268	36.01
414.2982	10761	6.77
415.2445	89279	56.14
416.2993	22775	14.32
417.2898	17411	10.95
422.1566	10728	6.75
423.1564	8602	5.41
424.0982	10259	6.45
425.0930	62395	39.23
426.2653	28584	17.97
427.2329	17003	10.69
429.2740	99072	62.29
430.2984	30249	19.02
431.2877	21660	13.62
432.3095	8250	5.19
435.1554	8124	5.11
437.1322	10482	6.59
438.2287	10280	6.46
439.3305	8720	5.48
