[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_F_061_C_32286_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:25:10

[MS Spectrum]
# of Peaks	390
Raw Spectrum	[1.908->3.483],(scan:[230->419])
Background	No Background Spectrum
Base Peak	m/z 798.55 (Inten : 389,051)
m/z	Absolute Intensity	Relative Intensity
104.2305	215350	55.35
146.2367	70048	18.00
162.1467	51187	13.16
164.0010	28176	7.24
170.0579	39587	10.18
173.0815	19515	5.02
175.0683	78215	20.10
185.0838	27835	7.15
188.1882	32760	8.42
200.1078	21138	5.43
201.9382	23060	5.93
203.2639	130748	33.61
204.1438	66548	17.11
219.0393	20566	5.29
222.0160	20572	5.29
232.1601	20862	5.36
255.1046	28615	7.36
261.0313	21484	5.52
271.1707	58757	15.10
287.1486	142542	36.64
288.2044	24542	6.31
296.0532	45703	11.75
307.0050	45113	11.60
327.1103	19579	5.03
369.2368	23548	6.05
371.1978	43722	11.24
372.2634	19968	5.13
385.2709	44008	11.31
399.1350	34994	8.99
400.3027	45837	11.78
401.2983	20760	5.34
415.2402	42184	10.84
425.1059	59443	15.28
426.2776	39924	10.26
428.2780	23424	6.02
429.2448	54437	13.99
459.3071	23891	6.14
473.3644	25711	6.61
503.3071	23521	6.05
517.0274	29393	7.56
518.3651	26383	6.78
523.8138	30625	7.87
529.3344	38516	9.90
530.9975	34360	8.83
534.2998	63909	16.43
536.0276	55239	14.20
538.6157	38430	9.88
541.3787	54270	13.95
543.2450	22474	5.78
545.8268	46844	12.04
547.2884	34436	8.85
548.7039	39268	10.09
550.5591	49060	12.61
553.3526	60494	15.55
555.7277	47800	12.29
557.7946	52904	13.60
559.2002	29971	7.70
560.3446	54651	14.05
561.3329	37705	9.69
562.3973	49137	12.63
563.4807	31401	8.07
565.1230	49836	12.81
568.0004	68377	17.58
570.9069	67478	17.34
573.1191	56663	14.56
575.2705	44314	11.39
577.3222	95745	24.61
580.0757	72230	18.57
582.6308	73874	18.99
585.5349	93130	23.94
587.2726	29602	7.61
588.9507	70825	18.20
590.2093	32488	8.35
591.3312	45492	11.69
592.6926	38677	9.94
594.4095	86596	22.26
597.6003	86803	22.31
599.9651	78986	20.30
603.3126	80012	20.57
606.8741	104261	26.80
609.0925	55640	14.30
612.0386	106288	27.32
615.5694	134222	34.50
617.7657	42454	10.91
621.1664	110678	28.45
624.0107	111016	28.54
626.7540	76469	19.66
629.6931	101758	26.16
633.3615	138327	35.55
635.4149	42247	10.86
638.3580	111264	28.60
641.7040	99887	25.67
643.9624	50247	12.92
645.1776	29991	7.71
647.3317	86977	22.36
650.7017	109156	28.06
652.9195	49221	12.65
656.0746	109361	28.11
659.7393	134960	34.69
661.7846	42023	10.80
665.0645	92086	23.67
667.9428	113591	29.20
670.9941	85066	21.86
673.5879	97296	25.01
675.3135	26071	6.70
676.9915	87242	22.42
678.3560	45215	11.62
679.6016	34245	8.80
682.4714	114684	29.48
685.7670	82517	21.21
689.0927	77477	19.91
691.2825	66286	17.04
693.2083	67624	17.38
694.8437	89775	23.08
697.0276	36037	9.26
700.1661	111426	28.64
704.0016	149892	38.53
704.6982	23317	5.99
706.0468	43738	11.24
709.1721	61391	15.78
711.7453	114100	29.33
713.5280	21941	5.64
715.2639	105487	27.11
718.1755	72618	18.67
722.1413	79890	20.53
723.5270	25779	6.63
726.3679	145928	37.51
729.8818	63582	16.34
732.8508	103500	26.60
734.5969	35393	9.10
735.5821	33353	8.57
737.3524	93425	24.01
738.5285	38289	9.84
739.4767	39165	10.07
740.4635	35356	9.09
741.5084	83926	21.57
742.5917	53775	13.82
743.5982	27629	7.10
744.4692	92289	23.72
745.5452	21853	5.62
