[Header]
Application Name	LabSolutions
Version	5.82 SP1
Data File Name	/somewhere/130617_MEC_M_067_C_32294_001_0_002_002_T.lcd
Output Date	2016/12/28
Output Time	10:29:14

[MS Spectrum]
# of Peaks	321
Raw Spectrum	[1.000->3.000],(scan:[121->361])
Background	No Background Spectrum
Base Peak	m/z 104.23 (Inten : 401,708)
m/z	Absolute Intensity	Relative Intensity
87.1831	21516	5.36
104.2283	401708	100.00
105.2434	23220	5.78
146.2350	86309	21.49
154.0726	20390	5.08
156.0742	22768	5.67
162.1398	45951	11.44
163.9950	31030	7.72
170.0586	72549	18.06
175.0599	91941	22.89
185.0876	32821	8.17
188.1961	75642	18.83
200.1020	20481	5.10
201.9049	22979	5.72
203.2460	169421	42.18
204.1098	152436	37.95
219.0045	27382	6.82
242.0884	21577	5.37
245.2067	29013	7.22
247.1886	20558	5.12
255.1076	23644	5.89
261.0417	20972	5.22
271.1685	91315	22.73
287.1729	189952	47.29
288.2372	44968	11.19
307.0070	90248	22.47
309.0564	23372	5.82
317.0289	24836	6.18
325.1811	21950	5.46
327.1574	21433	5.34
355.1564	20255	5.04
369.2266	25962	6.46
371.1911	36654	9.12
385.2489	34210	8.52
399.1332	27237	6.78
400.2544	22861	5.69
409.1216	33230	8.27
413.2732	20566	5.12
415.2442	35196	8.76
425.1137	207294	51.60
426.1899	60869	15.15
427.1378	35072	8.73
428.1998	21021	5.23
429.2199	54473	13.56
443.1575	21281	5.30
459.2856	26555	6.61
473.3322	25599	6.37
503.3204	24631	6.13
518.3134	20116	5.01
523.2208	24034	5.98
527.2238	37532	9.34
529.3625	31422	7.82
534.3105	35046	8.72
547.3345	20496	5.10
548.7582	20601	5.13
553.0433	21575	5.37
560.3080	24411	6.08
561.3084	25236	6.28
562.3577	32947	8.20
567.3443	22498	5.60
591.3481	22430	5.58
605.3699	22667	5.64
611.3835	28176	7.01
637.1471	21389	5.32
649.3254	20382	5.07
655.3995	27670	6.89
675.2601	29700	7.39
693.3284	20911	5.21
699.3811	24977	6.22
703.5079	24263	6.04
705.0991	30661	7.63
707.5540	22783	5.67
719.3614	28177	7.01
723.4179	23642	5.89
725.4859	38513	9.59
726.5605	21167	5.27
737.2658	23978	5.97
739.4970	26063	6.49
741.5416	62904	15.66
742.5386	35114	8.74
743.4880	35970	8.95
744.5167	34216	8.52
754.5176	38151	9.50
756.5015	36293	9.03
758.5122	39189	9.76
759.5103	20117	5.01
760.5289	56326	14.02
761.5970	31391	7.81
766.5116	23076	5.74
767.5003	22755	5.66
768.5394	32014	7.97
770.5259	66047	16.44
771.5368	32132	8.00
772.5287	51850	12.91
773.5494	25692	6.40
780.5427	74733	18.60
781.5114	40286	10.03
782.5386	148042	36.85
783.5586	75298	18.74
784.5830	61883	15.40
785.5813	24005	5.98
786.5571	44801	11.15
787.5425	28142	7.01
788.5418	38587	9.61
789.5829	23796	5.92
790.6089	22529	5.61
794.5164	37084	9.23
796.5339	178168	44.35
797.5118	85064	21.18
798.5207	334980	83.39
799.5331	156683	39.00
800.5343	76434	19.03
801.5693	24868	6.19
802.5139	26030	6.48
804.5055	39230	9.77
806.5238	55531	13.82
807.5157	27228	6.78
808.5616	99122	24.68
809.5449	52833	13.15
810.5508	95622	23.80
811.5682	51237	12.75
812.5585	39088	9.73
813.5829	22167	5.52
818.5047	31261	7.78
820.5228	54335	13.53
821.5120	27149	6.76
822.5463	88365	22.00
823.5184	43595	10.85
824.5476	186024	46.31
825.5416	96674	24.07
826.5393	156139	38.87
